,Date,Amount,Token,XLINE,XLINE2,,Amount2,Token2,Amount3,Token3,Line#,USD,$ / token,Type,Defi,Notes,Current Classifications,Wallet,Txhash,Sender,Receiver,,,Categorized,,Count
FALSE,"November 18, 2020, 12:49: PM",-0.00013025,SLP-WBTC-TBTC,,,,13.08521967,WBTC,13.02667193,TBTC,,,,,,,,BCAP Fund,0x5dc1ffa8ea1338bdbfdf6637b2146f37fc612e4bcadda853d07f29eda1467b6a,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xd9e1cE17f2641f24aE83637ab66a2cca9C378B9F,,,,Categorized,1
FALSE,"October 20, 2020, 8:50: AM","-616,887.9",USDC,,,,"601,201.98127781",RSPT,,,,,,,,,,BCAP Fund,0xb535824cf38275e2a84a03fe3a839306b938884fcfc418bd3f421bdfb0e14c78,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xC6BF8C8A55f77686720E0a88e2Fd1fEEF58ddf4a,,,,Categorized,2
FALSE,"October 13, 2020, 9:43: PM",-12.995,WBTC,,,,-12.68995666,TBTC,0.00012831,SLP-WBTC-TBTC,,,,,,,,BCAP Fund,0xcf1059320f71094effa631de043d4376d81cdb7cf371bf42fa8e9fc4d36a40f0,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xd9e1cE17f2641f24aE83637ab66a2cca9C378B9F,,,,Categorized,3
FALSE,"October 13, 2020, 9:15: PM","-290,000",FARM-USDC-5,,,,"299,866.053861",USDC,,,,,,,,,,BCAP Fund,0x70913520a69b5f592d6394d2d364d6de6f49bfd0e30a915d1355af70ad725d39,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xc3F7ffb5d5869B3ade9448D094d81B0521e8326f,,,,Categorized,4
FALSE,"October 13, 2020, 9:13: PM","889,909.67716",FARM-USDC-5,,,,0.75684155,FARM,,,,,,,,,,BCAP Fund,0x68f938df2625cf1a57efc371337a3755bd55389a1c7fa5c7d1140cca14e4a886,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xE1f9A3EE001a2EcC906E8de637DBf20BB2d44633,,,,Categorized,5
FALSE,"October 13, 2020, 2:23: PM",-0.00211907,FARM-UNI-V2-3,,,,,,,,,,,,,,,BCAP Fund,0x69ba225e29a0bd614fd7ab02e886d4579a104f5edb664366c63b640c275af459,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x156733b89Ac5C704F3217FEe2949A9D4A73764b5,,,,Categorized,6
FALSE,"October 13, 2020, 2:22: PM",,,,,,,,,,,,,,,,,BCAP Fund,0xfa204bf1219e73d0e5185d013260faa5a2b227f2bade88e91d347f221f81e53c,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x63671425ef4D25Ec2b12C7d05DE855C143f16e3B,,,,Categorized,7
FALSE,"October 13, 2020, 2:18: PM",0.00211907,FARM-UNI-V2-3,,,,,,,,,,,,,,,BCAP Fund,0x173164255074c657673994f8a2f514bf393a1c29ab483dd9e5e28b3d03dd86e8,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xc24dA7a6B5adC8771588D58B6109ef52c95a311E,,,,Categorized,8
FALSE,"October 13, 2020, 2:18: PM",-4.90293071,FARM,,,,,,,,,,,,,,,BCAP Fund,0x05303a93791e113655722932b9b27404c760d5af60d5c3e81c8db2f51d7f15c8,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x25550Cccbd68533Fa04bFD3e3AC4D09f9e00Fc50,,,,Categorized,9
FALSE,"October 13, 2020, 1:59: PM",4.238584,FARM,,,,,,,,,,,,,,,BCAP Fund,0x21e1fa376eff058d817b717646fb378fbe5c4ad92fcaebbc8806b27318d8b480,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xE1f9A3EE001a2EcC906E8de637DBf20BB2d44633,,,,Categorized,10
