,Date,Amount,Token,Amount2,Token2,,USD,$ / token,Type,Defi,Notes,Current Classifications,Wallet,Txhash,Sender,Receiver
FALSE,"May 27, 2021 5:41 PM",-0.17600951,ETH,,,,-482.70,,,,,,BCAP Fund,0x6672b1d36a3acf10c44147fd710377fe7c2db31f83bc77fbbc3bf6aaf6e5bca4,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xf9706224f8B7275Ee159866C35f26e1f43682E20
FALSE,"May 27, 2021 5:34 PM","-2,221,866.963879",USDC,,,,-2226310.70,,,,,,BCAP Fund,0x104f75b02fa1b97a1781c966c5149ea543e40b8afbc72ca271f7d01466801348,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48
FALSE,"May 27, 2021 5:11 PM","-303,851",USDC,,,,-304458.70,,,,,,BCAP Fund,0x842cb778df998c364d445f0e4f88182b98cbca678f6df82af65d26924bfd2f6b,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48
FALSE,"May 27, 2021 4:49 PM",-10,USDC,,,,-10.00,,,,,,BCAP Fund,0xfa5a52cbbb13a218155e4ac23820b5fb2eb3e32edfdb6130023964186688cc20,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xf9706224f8B7275Ee159866C35f26e1f43682E20
FALSE,"May 25, 2021 11:26 PM",-7,WBTC,,,1,-274936.83,,,,,,BCAP Fund,0x5fd0d737037cddf3a81d8778f27190e5f4da98ccccb21af4b035d504d37cb114,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xbf3f6477dbd514ef85b7d3ec6ac2205fd0962039
FALSE,"May 25, 2021 11:26 PM","280,000",USDC,,,,279972.00,,,,,,BCAP Fund,0x5fd0d737037cddf3a81d8778f27190e5f4da98ccccb21af4b035d504d37cb114,0xbf3f6477dbd514ef85b7d3ec6ac2205fd0962039,0x7224D1965F85572750A7BfB6845759DE52A8B76A
FALSE,"May 25, 2021 11:26 PM","280,000",USDC,,,2,-274936.83,,,,,,BCAP Fund,0x5fd0d737037cddf3a81d8778f27190e5f4da98ccccb21af4b035d504d37cb114,0x328DB7533203C9B9bdd21d071490B667A4030f26,0xa57Bd00134B2850B2a1c55860c9e9ea100fDd6CF
TRUE,"May 25, 2021 10:11 PM",-3,WBTC,,,1,,,,,,,BCAP Fund,0xad799ba601119a92d9be91cb5e054dae1bddfa5d2164a7f95334bf7a2f96c29d,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x22f9dcf4647084d6c31b2765f6910cd85c178c18
FALSE,"May 25, 2021 10:11 PM","118,795.753798",USDC,,,2,,,,,,,BCAP Fund,0xad799ba601119a92d9be91cb5e054dae1bddfa5d2164a7f95334bf7a2f96c29d,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xDef1C0ded9bec7F1a1670819833240f027b25EfF
FALSE,"May 25, 2021 9:44 PM",-0.9758,ETH,,,1,,,,,,,BCAP Fund,0x13dcf0b69c23f9304bd66b1337c7e3b929e2e9af7154a1c79779a585d3404d85,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xDef1C0ded9bec7F1a1670819833240f027b25EfF
FALSE,"May 25, 2021 9:44 PM","2,724.831895",USDC,,,2,,,,,,,BCAP Fund,0x13dcf0b69c23f9304bd66b1337c7e3b929e2e9af7154a1c79779a585d3404d85,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xDef1C0ded9bec7F1a1670819833240f027b25EfF
FALSE,"May 25, 2021 9:31 PM",-10,WBTC,,,1,,,,,,,BCAP Fund,0x0bdb4ffc0b6ddcfda2b114c32d0d919168934d71cada2d996bdb57d8ec6912a1,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xDef1C0ded9bec7F1a1670819833240f027b25EfF
FALSE,"May 25, 2021 9:31 PM","390,217.523047",USDC,,,2,,,,,,,BCAP Fund,0x0bdb4ffc0b6ddcfda2b114c32d0d919168934d71cada2d996bdb57d8ec6912a1,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xDef1C0ded9bec7F1a1670819833240f027b25EfF
FALSE,"May 25, 2021 7:28 PM",-10,WBTC,,,,,,,,,,BCAP Fund,0x4cfa094cb1c085cb5f37b8d8dfbc101a1e9c3c6ca1c9e908a055c493f9927115,0x048Fde2d3d47F54d3E7bE0Be7A40e1cb5AfF5d72,0x0000000000007F150Bd6f54c40A34d7C3d5e9f56
FALSE,"May 25, 2021 6:57 PM",,,,,,,,,,,,BCAP Fund,0xd2c58573f190e4d26af45268fbf4360c1f12877bc323f98438541ce9cd04be2f,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599
FALSE,"May 25, 2021 6:55 PM",-5.5942,WBTC,,,1,,,,,,,BCAP Fund,0xe8a0ed230875f070205ec003dcbf2096e13433adbc14b536466815d764d7a132,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xDef1C0ded9bec7F1a1670819833240f027b25EfF
FALSE,"May 25, 2021 6:55 PM","218,170.587997",USDC,,,2,,,,,,,BCAP Fund,0xe8a0ed230875f070205ec003dcbf2096e13433adbc14b536466815d764d7a132,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xDef1C0ded9bec7F1a1670819833240f027b25EfF
FALSE,"May 25, 2021 6:47 PM",-0.0022,DIGG,,,1,,,,,,,BCAP Fund,0x0a833adb64c34e49ed49d2ba6d1c686b7098554e581fa2db6474358c723056d1,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xDef1C0ded9bec7F1a1670819833240f027b25EfF
FALSE,"May 25, 2021 6:47 PM",63.612803,USDC,,,2,,,,,,,BCAP Fund,0x0a833adb64c34e49ed49d2ba6d1c686b7098554e581fa2db6474358c723056d1,0x7224D1965F85572750A7BfB6845759DE52A8B76A,0xDef1C0ded9bec7F1a1670819833240f027b25EfF
