TxHash,To,From,TokenAmount,UsdAmount
0x6672b1d36a3acf10c44147fd710377fe7c2db31f83bc77fbbc3bf6aaf6e5bca4,0x7224d1965f85572750a7bfb6845759de52a8b76a,0xf9706224f8b7275ee159866c35f26e1f43682e20,"0.17600951074204878","$424.60"
0x104f75b02fa1b97a1781c966c5149ea543e40b8afbc72ca271f7d01466801348,0x7224d1965f85572750a7bfb6845759de52a8b76a,0xf9706224f8b7275ee159866c35f26e1f43682e20,"2,221,866.963879","$2234423.38"
0x842cb778df998c364d445f0e4f88182b98cbca678f6df82af65d26924bfd2f6b,0x7224d1965f85572750a7bfb6845759de52a8b76a,0x30c266366948807f22b673bc78e8d8224447b978,"303,851","$305568.15"
0xfa5a52cbbb13a218155e4ac23820b5fb2eb3e32edfdb6130023964186688cc20,0x7224d1965f85572750a7bfb6845759de52a8b76a,0xf9706224f8b7275ee159866c35f26e1f43682e20,"10","$10.00"
0x5fd0d737037cddf3a81d8778f27190e5f4da98ccccb21af4b035d504d37cb114,0x56178a0d5f301baf6cf3e1cd53d9863437345bf9,0xbf3f6477dbd514ef85b7d3ec6ac2205fd0962039,"11,812.02633358640553962","$33866621.02"
0x5fd0d737037cddf3a81d8778f27190e5f4da98ccccb21af4b035d504d37cb114,0x56178a0d5f301baf6cf3e1cd53d9863437345bf9,0xbf3f6477dbd514ef85b7d3ec6ac2205fd0962039,"4,166,090.13805","$4164837.75"
0x5fd0d737037cddf3a81d8778f27190e5f4da98ccccb21af4b035d504d37cb114,0xbf3f6477dbd514ef85b7d3ec6ac2205fd0962039,0x7224d1965f85572750a7bfb6845759de52a8b76a,"280,000","$279915.83"
0x5fd0d737037cddf3a81d8778f27190e5f4da98ccccb21af4b035d504d37cb114,0x7224d1965f85572750a7bfb6845759de52a8b76a,0xbf3f6477dbd514ef85b7d3ec6ac2205fd0962039,"7","$274888.76"
0x5fd0d737037cddf3a81d8778f27190e5f4da98ccccb21af4b035d504d37cb114,0xbf3f6477dbd514ef85b7d3ec6ac2205fd0962039,0x56178a0d5f301baf6cf3e1cd53d9863437345bf9,"11,812.02633358640553962","$33866621.02"
0x5fd0d737037cddf3a81d8778f27190e5f4da98ccccb21af4b035d504d37cb114,0xbf3f6477dbd514ef85b7d3ec6ac2205fd0962039,0x56178a0d5f301baf6cf3e1cd53d9863437345bf9,"3,886,090.13805","$3884921.92"
0x5fd0d737037cddf3a81d8778f27190e5f4da98ccccb21af4b035d504d37cb114,0xbf3f6477dbd514ef85b7d3ec6ac2205fd0962039,0x56178a0d5f301baf6cf3e1cd53d9863437345bf9,"7","$274888.76"
0x5fd0d737037cddf3a81d8778f27190e5f4da98ccccb21af4b035d504d37cb114,0xa57bd00134b2850b2a1c55860c9e9ea100fdd6cf,0x0000000000000000000000000000000000000000,"9","$25.93"
0xad799ba601119a92d9be91cb5e054dae1bddfa5d2164a7f95334bf7a2f96c29d,0x7224d1965f85572750a7bfb6845759de52a8b76a,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,"3","$117809.47"
0xad799ba601119a92d9be91cb5e054dae1bddfa5d2164a7f95334bf7a2f96c29d,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,"42.182814214742937869","$120943.63"
0xad799ba601119a92d9be91cb5e054dae1bddfa5d2164a7f95334bf7a2f96c29d,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,"3","$117809.47"
0xad799ba601119a92d9be91cb5e054dae1bddfa5d2164a7f95334bf7a2f96c29d,0xaa448eff88b1e752d50b87220b543d79eac15a0e,0x7c66550c9c730b6fdd4c03bc2e73c5462c5f7acc,"118,795.753798","$118760.04"
0xad799ba601119a92d9be91cb5e054dae1bddfa5d2164a7f95334bf7a2f96c29d,0x7c66550c9c730b6fdd4c03bc2e73c5462c5f7acc,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,"118,795.753798","$118760.04"
0xad799ba601119a92d9be91cb5e054dae1bddfa5d2164a7f95334bf7a2f96c29d,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,0x7224d1965f85572750a7bfb6845759de52a8b76a,"118,795.753798","$118760.04"
0x13dcf0b69c23f9304bd66b1337c7e3b929e2e9af7154a1c79779a585d3404d85,0xdef1c0ded9bec7f1a1670819833240f027b25eff,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,"0.9758","$2797.75"
0x13dcf0b69c23f9304bd66b1337c7e3b929e2e9af7154a1c79779a585d3404d85,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x7224d1965f85572750a7bfb6845759de52a8b76a,"2,724.831895","$2724.01"
0x0bdb4ffc0b6ddcfda2b114c32d0d919168934d71cada2d996bdb57d8ec6912a1,0x7224d1965f85572750a7bfb6845759de52a8b76a,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,"10","$392698.22"
0x0bdb4ffc0b6ddcfda2b114c32d0d919168934d71cada2d996bdb57d8ec6912a1,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,"140.81479930102289937","$403734.41"
0x0bdb4ffc0b6ddcfda2b114c32d0d919168934d71cada2d996bdb57d8ec6912a1,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,"10","$392698.22"
0x0bdb4ffc0b6ddcfda2b114c32d0d919168934d71cada2d996bdb57d8ec6912a1,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,"140.81479930102289937","$403734.41"
0x0bdb4ffc0b6ddcfda2b114c32d0d919168934d71cada2d996bdb57d8ec6912a1,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,"390,217.523047","$390100.22"
0x0bdb4ffc0b6ddcfda2b114c32d0d919168934d71cada2d996bdb57d8ec6912a1,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,0x7224d1965f85572750a7bfb6845759de52a8b76a,"390,217.523047","$390100.22"
0x4cfa094cb1c085cb5f37b8d8dfbc101a1e9c3c6ca1c9e908a055c493f9927115,0xdfee68a9adb981cd08699891a11cabe10f25ec44,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,"140.329022151175159808","$402341.62"
0x4cfa094cb1c085cb5f37b8d8dfbc101a1e9c3c6ca1c9e908a055c493f9927115,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,0x0000000000007f150bd6f54c40a34d7c3d5e9f56,"397,490","$397370.51"
0x4cfa094cb1c085cb5f37b8d8dfbc101a1e9c3c6ca1c9e908a055c493f9927115,0x0000000000007f150bd6f54c40a34d7c3d5e9f56,0x7224d1965f85572750a7bfb6845759de52a8b76a,"397,490","$397370.51"
0x4cfa094cb1c085cb5f37b8d8dfbc101a1e9c3c6ca1c9e908a055c493f9927115,0x7224d1965f85572750a7bfb6845759de52a8b76a,0x0000000000007f150bd6f54c40a34d7c3d5e9f56,"10","$392698.22"
0x4cfa094cb1c085cb5f37b8d8dfbc101a1e9c3c6ca1c9e908a055c493f9927115,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,0xdfee68a9adb981cd08699891a11cabe10f25ec44,"140.888815472252493907","$403946.62"
0x4cfa094cb1c085cb5f37b8d8dfbc101a1e9c3c6ca1c9e908a055c493f9927115,0x0000000000007f150bd6f54c40a34d7c3d5e9f56,0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,"10","$392698.22"
0xd2c58573f190e4d26af45268fbf4360c1f12877bc323f98438541ce9cd04be2f,0x7224d1965f85572750a7bfb6845759de52a8b76a,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,"0",""
0xe8a0ed230875f070205ec003dcbf2096e13433adbc14b536466815d764d7a132,0x7224d1965f85572750a7bfb6845759de52a8b76a,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,"5.5942","$219683.24"
0xe8a0ed230875f070205ec003dcbf2096e13433adbc14b536466815d764d7a132,0x99ac8ca7087fa4a2a1fb6357269965a2014abc35,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,"218,170.587997","$218105.00"
0xe8a0ed230875f070205ec003dcbf2096e13433adbc14b536466815d764d7a132,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,0x99ac8ca7087fa4a2a1fb6357269965a2014abc35,"5.5942","$219683.24"
